振込依頼人名が会社名と異なる場合の消込は？,お客様に連絡して確認をとるか、金額と日付から照合を行い、入金消込処理をします。,
相殺領収書の発行を求められました。,相殺事実を証明する書類であり、金銭の授受がないため収入印紙は不要です。但し書きに「相殺」と明記します。,
海外取引のインボイスに消費税はかかりますか？,輸出免税取引となるため、所定の要件を満たせば消費税は免除（0%）されます。,
バックオフィス業務の委託（BPO）は可能ですか？,請求発行や入金管理などは委託可能です。情報漏洩リスクを考慮し契約を結んでください。,
社内稟議が通るまで支払いを待ってほしいと言われました。,回収予定日がずれるため、上長に報告・相談の上、支払確約書などをいただく場合があります。,
請求書の日付を実際の取引日と変えてほしいと依頼されました。,不正会計につながる恐れがあるため、事実に基づかない日付の変更はお断りしてください。,
宛名なし（空欄）の領収書発行はできますか？,税務上のトラブルや不正利用防止のため、必ず宛名を記入して発行してください。,
支払通知書とは何ですか？,支払側が支払う内容を明記して送付する書類で、請求書の代わりとして利用されることもあります。,
買掛金の支払漏れが発覚した場合は？,速やかに取引先へ謝罪連絡を入れ、最短で振込手続きを行ってください。,
請求書に必ず記載すべき項目は何ですか？,請求書には取引日付取引内容金額消費税額支払期限発行者情報を記載してください。,
適格請求書の保存期間はどれくらいですか？,適格請求書は原則として7年間保存してください。,
インボイス番号の記載がない場合はどうなりますか？,インボイス番号がない場合は仕入税額控除が一部制限されるため確認が必要です。,
請求書の再発行は可能ですか？,可能です。①原本紛失の確認②再発行日付の記載③控えの保存を行ってください。,
領収書に収入印紙は必要ですか？,記載金額が一定額以上の場合は収入印紙の貼付が必要です。,
支払期限を過ぎた請求への対応方法を教えてください。,①支払状況確認②督促連絡③再請求書発行の順で対応してください。,
督促状はいつ送付すべきですか？,支払期限経過後速やかに送付してください。,
未収金はどのように管理しますか？,未収金台帳に記録し定期的に回収状況を確認してください。,
再請求書には何を記載しますか？,請求内容に加え再請求である旨と新たな支払期限を記載してください。,
口座振替の開始手続きはどうしますか？,①申込書回収②口座確認③登録完了通知を行ってください。,
前払いをお願いする場合の注意点は何ですか？,支払条件を事前に明示し合意を得てから請求してください。,
後払いが利用できないケースはありますか？,信用状況によっては後払いをお断りする場合があります。,
支払方法の変更依頼があった場合の対応は？,変更理由を確認し社内承認後に対応してください。,
請求金額に誤りがあった場合はどうしますか？,①誤り確認②訂正請求書発行③顧客へ説明を行ってください。,
二重請求に気付いた場合の対処方法は？,速やかに謝罪し正しい請求内容を案内してください。,
返金が必要な場合の基本手順を教えてください。,①返金理由確認②金額確定③返金処理実施を行ってください。,
返金時の振込手数料はどう扱いますか？,原則として原因側が負担します。,
消費税の端数処理はどうしますか？,社内ルールに基づき切捨て切上げ等を統一してください。,
経費精算で領収書がない場合はどうなりますか？,原則不可ですが理由書提出で認められる場合があります。,
領収書の宛名が空欄でも有効ですか？,内容が確認できれば有効とする場合があります。,
クレームを受けた際の基本対応を教えてください。,①事実確認②謝罪③対応方針説明を行ってください。,
問い合わせ対応の記録は必要ですか？,再発防止のため必ず記録してください。,
トラブル発生時に社内共有は必要ですか？,影響範囲を確認し関係部署へ共有してください。,
在庫差異が発生した場合の対応は？,①数量確認②原因調査③是正処理を行ってください。,
棚卸の頻度はどれくらいが適切ですか？,通常は年1回以上実施してください。,
棚卸差異は会計上どう処理しますか？,原因に応じて損益処理を行います。,
在庫数が帳簿と合わない時の初動は？,現物再確認と入出庫履歴の確認を行ってください。,
配送遅延が発生した場合の連絡方法は？,事実確認後速やかに顧客へ連絡してください。,
出荷ミスが判明した場合の対応手順は？,①誤出荷回収②正品再送③謝罪を行ってください。,
配送トラブルの再発防止策は？,作業手順の見直しとダブルチェックを実施してください。,
請求書の送付方法を変更したい場合は？,事前に顧客の同意を得てください。,
電子請求書の保存要件は何ですか？,真実性と可視性を確保して保存してください。,
支払遅延の理由を聞く際の注意点は？,責めず事実確認を丁寧に行ってください。,
長期未収金はどう対応しますか？,社内規程に基づき回収または償却を検討します。,
支払確認の問い合わせが来た場合は？,入金状況を確認し結果を案内してください。,
請求内容に関する問い合わせ対応の流れは？,①内容確認②回答準備③記録保存を行ってください。,
在庫管理を改善するための基本策は？,定期棚卸と入出庫管理の徹底を行ってください。,
インボイス制度で免税事業者からの仕入はどう扱いますか？,経過措置期間中は一定割合の控除が可能ですが、原則は控除対象外となるため区分記載して経理処理します。,
適格簡易請求書（レシート）に宛名は必要ですか？,小売業やタクシー業などで発行される簡易インボイスの場合、宛名の記載は省略可能です。,
振込手数料を差し引いて入金された場合の処理は？,差額が手数料相当額であれば支払手数料として処理し、著しく異なる場合は相手先に確認してください。,
支払期限の延長を依頼された場合の対応は？,理由と支払可能日を確認し、社内規定の範囲内であれば承認しますが、確約書の提出を求めてください。,
督促メールを送っても返信がない時はどうしますか？,次のステップとして電話連絡を行い、それでも不通の場合は内容証明郵便の送付を検討してください。,
取引先が倒産した場合の債権回収手順は？,直ちに管財人へ債権届出を行い、配当を待ちます。回収不能額は貸倒損失として処理します。,
電子記録債権（でんさい）での支払いは可能ですか？,導入済みの金融機関であれば可能です。利用者番号等の情報を交換し、登録手続きを進めてください。,
受け取った小切手の振出日が未来の日付でした。,先日付小切手として管理し、記載された期日が到来してから銀行へ取立依頼を行ってください。,
前受金の売上計上タイミングはいつですか？,入金時は前受金として処理し、商品の出荷やサービスの提供が完了した時点で売上へ振り替えます。,
請求書の金額を多く間違えて発行してしまいました。,速やかにお詫び連絡を入れ、差額分の赤伝票を発行するか、正しい請求書と差し替えてください。,
お客様から別の口座への返金を求められました。,マネーロンダリング等のリスク回避のため、原則として支払時と同一の名義・口座へ返金してください。,
二重払いの返金を現金書留で送れますか？,可能ですが、郵送リスクと手数料がかかるため、記録が残る銀行振込での返金を推奨してください。,
領収書の但し書きに「品代」と書くのはNGですか？,インボイス制度では税率判別が必要なため、具体的な品名（例：飲食代、文具代）を記載してください。,
新幹線回数券の領収書処理はどうすべきですか？,購入時に経費処理しますが、私的利用の防止策として使用履歴の管理表を作成・運用してください。,
領収書をPDFでメール送付しても有効ですか？,法的に有効です。電子取引データとして、電子帳簿保存法の要件に従って保存してください。,
クレーム対応で「上の者を出せ」と言われました。,担当者で解決できない場合は上長に経緯を報告し、状況を共有した上で速やかに引き継ぎを行ってください。,
理不尽な要求を繰り返すクレーマーへの対応は？,毅然とした態度で接し、不当な要求には応じません。会話の録音や弁護士への相談も検討してください。,
棚卸で商品の破損が見つかった場合の処理は？,破損状況を記録し、販売不可であれば廃棄損として処理して在庫数から減額してください。,
預け在庫（委託在庫）の棚卸確認方法は？,委託先に在庫証明書の発行を依頼し、自社の帳簿残高と照合して差異がないか確認します。,
入荷予定の商品が届かない時の対応は？,仕入先へ配送状況と遅延理由を確認し、納期変更が必要な場合は営業担当と顧客へ共有してください。,
出荷指示と違う商品を誤送してしまいました。,お客様へ謝罪し、最短で正しい商品を発送するとともに、誤送品の着払い返送を依頼してください。,
配送業者のミスでお届けが遅延しそうです。,判明次第お客様へ連絡し、配送業者の状況説明と新しいお届け予定日時を伝えてお詫びしてください。,
台風等の災害で配送がストップした場合は？,配送不可地域と再開見込みをWeb等で告知し、該当するお客様へは個別に遅延連絡を入れてください。,
インボイスの返還請求書はいつ必要ですか？,返品や値引きが発生し、対価の返還を行う場合に、その金額と消費税額を記載して発行します。,
個人事業主への支払いで源泉徴収は必要ですか？,原稿料や講演料など、所得税法で指定された報酬を支払う場合は源泉徴収を行い、納付してください。,
請求書を紛失したお客様から再送依頼が来ました。,PDF等の電子データまたは郵送にて再発行し、二重計上防止のため備考欄に「再発行」と明記します。,
売掛金の入金消込で金額が合いません。,同額の別案件や振込手数料の誤差を確認し、不明な場合はお客様へ入金内訳を照会してください。,
口座振替依頼書に印鑑相違の不備がありました。,お客様へ不備内容を連絡し、再度正しい印鑑で書類を作成・捺印していただくよう依頼してください。,
仮払金の精算が遅れている社員への対応は？,規定の精算期限超過を通知し、速やかな証憑提出と差額の精算（返金または支給）を促してください。,
領収書に収入印紙を貼り忘れました。,気づいた時点で貼り付け、消印を押してください。税務調査で指摘されると過怠税の対象になります。,
システム障害で請求書発行が遅れそうです。,事前にお客様へ状況と発行予定日を連絡し、支払期限の変更が必要か相談・調整してください。,
商品の一部が欠品のため分納になります。,分納の旨と残りの発送日をお客様に伝え、伝票や請求書を分割するか一括にするか確認してください。,
長期滞留在庫の評価損はどう判断しますか？,販売見込みがない、または時価が著しく下落している場合、社内基準に従って評価損を計上します。,
棚卸表の回収漏れを防ぐ方法は？,エリアごとに担当者を決め、ナンバリングされた棚卸表を配布・回収し、リストで管理チェックしてください。,
電話で注文変更を受けた時の注意点は？,言った言わないのトラブルを防ぐため、必ずメールやFAX等の書面で変更内容の確定依頼をしてください。,
納品書に金額の記載は必須ですか？,必須ではありませんが、お客様側の検収・照合業務の効率化のため、単価や金額を記載するのが一般的です。,
海外送金の着金手数料はどちらが負担しますか？,契約によりますが、請求額満額を着金させる場合は、送金人（支払側）負担として手続きします。,
未払金の支払通知書が届かない場合は？,取引先へ連絡して送付を依頼するか、請求書の控え等で金額を確定させ、支払処理を進めてください。,
交際費の予算を超過しそうな時は？,税務上の損金算入限度額を考慮し、予算管理を徹底するか、会議費等への区分が適正か再確認してください。,
返品時の送料はどちらが負担すべきですか？,不良品や誤送など当社不備の場合は当社負担、お客様都合による返品はお客様負担とするのが基本です。,
請求書に押印は必須ですか？,法律上は必須ではありませんが社内ルールに従い対応してください。,
請求書の日付はいつを記載しますか？,原則として発行日を記載してください。,
インボイス制度で免税事業者との取引はどう扱いますか？,仕入税額控除の可否を確認し社内処理を行ってください。,
適格請求書と区分記載請求書の違いは何ですか？,記載項目と仕入税額控除の要件が異なります。,
領収書の再発行を求められた場合は？,支払確認後に再発行可否を判断してください。,
支払期限前に入金確認を行ってもよいですか？,確認は可能ですが過度な催促は控えてください。,
支払期限を延長する依頼が来た場合の対応は？,理由確認後に社内承認を得て判断してください。,
督促メールと電話はどちらが適切ですか？,状況に応じて段階的に使い分けてください。,
未収金が長期化した場合の初動は？,原因確認と回収方針の再検討を行ってください。,
支払条件の変更は契約書修正が必要ですか？,原則として書面での合意が必要です。,
口座振替が失敗した場合はどうしますか？,失敗理由確認後に再請求を行ってください。,
前払い入金後の請求書発行は必要ですか？,取引証憑として発行してください。,
後払い取引の与信管理はどうしますか？,定期的に支払実績を確認してください。,
請求金額の端数誤差が出た場合は？,社内ルールに基づき調整してください。,
請求内容に不明点があると連絡が来た場合は？,内容確認後に書面で回答してください。,
二重入金があった場合の対応は？,返金または相殺の可否を確認してください。,
返金期限の目安はありますか？,確認完了後速やかに対応してください。,
返金処理後の連絡は必要ですか？,返金完了の連絡を行ってください。,
消費税率が混在する請求書の注意点は？,税率ごとに金額を区分記載してください。,
経費精算で日付不明の領収書は使えますか？,原則不可ですが事情確認を行ってください。,
クレーム対応で最初に行うべきことは？,事実関係の確認を最優先してください。,
問い合わせ対応の期限は決めるべきですか？,社内基準を設けて対応してください。,
トラブル内容の記録項目は何ですか？,日時内容対応結果を記録してください。,
在庫差異が頻発する場合の対策は？,管理方法の見直しを行ってください。,
棚卸時に破損品が見つかった場合は？,状態確認後に処理区分を決定してください。,
棚卸結果の承認フローは必要ですか？,上長承認を得て確定してください。,
在庫評価方法は統一すべきですか？,会計方針に基づき統一してください。,
配送遅延の原因が天候の場合の対応は？,状況説明と到着見込みを案内してください。,
出荷数量不足が発覚した場合は？,不足分の再出荷を手配してください。,
誤配送先からの返品対応は？,回収手配と謝罪を行ってください。,
配送トラブル時の社内報告は必要ですか？,影響があれば速やかに報告してください。,
請求書送付後の内容修正は可能ですか？,訂正請求書を発行してください。,
電子領収書は紙と同等に扱えますか？,要件を満たせば同等に扱えます。,
支払方法が複数ある場合の案内方法は？,選択肢を明確に提示してください。,
未入金時に取引停止は可能ですか？,社内規程に基づき判断してください。,
在庫管理責任者は明確にすべきですか？,責任範囲を明確にしてください。,
配送完了の確認方法は？,配送記録や受領確認で行ってください。,
問い合わせが重複した場合の対応は？,履歴を確認し一貫した回答を行ってください。,
請求書の金額修正は手書きで行ってもよいですか？,原則不可です。訂正請求書を発行してください。,
請求書の保存は紙と電子のどちらが必要ですか？,保存要件を満たせばどちらでも可能です。,
インボイスの交付義務が発生する取引は何ですか？,課税取引に該当する場合に交付が必要です。,
領収書に但し書きは必須ですか？,取引内容が分かるよう記載してください。,
請求書の宛名を修正したい場合は？,修正理由確認後に再発行してください。,
支払期限当日の未入金は督促対象ですか？,原則として翌営業日以降に対応してください。,
初回督促はどの程度の表現が適切ですか？,事実確認を目的とした穏やかな表現にしてください。,
再督促のタイミングはいつですか？,初回督促後一定期間経過後に行ってください。,
未収金の社内報告基準はありますか？,金額や期間に応じて報告してください。,
支払遅延が常態化している取引先への対応は？,条件見直しを検討してください。,
支払方法を銀行振込から変更できますか？,双方合意のうえで変更してください。,
口座振替の停止依頼があった場合は？,停止理由確認後に手続きを行ってください。,
前払い入金額が不足している場合は？,不足分を追加請求してください。,
後払いの支払期限は自由に設定できますか？,契約条件に基づき設定してください。,
請求金額と契約金額が異なる場合は？,契約内容を確認し修正してください。,
誤請求を先方が支払済みの場合は？,返金または次回相殺を検討してください。,
返金方法の指定があった場合は？,可能な範囲で対応してください。,
返金処理の証憑は必要ですか？,返金記録を必ず保存してください。,
消費税の記載漏れがあった場合は？,修正請求書を発行してください。,
非課税取引の記載方法は？,非課税である旨を明記してください。,
経費精算でコピー領収書は使えますか？,原則不可ですが事情確認を行ってください。,
クレーム内容が不明確な場合は？,詳細を確認してから対応してください。,
問い合わせ対応を担当部署に引き継ぐ際の注意点は？,経緯と対応状況を共有してください。,
トラブル対応の完了判断基準は？,相手の了承を得て完了としてください。,
在庫差異がマイナスの場合の処理は？,原因確認後に調整処理を行ってください。,
棚卸立会は必要ですか？,重要在庫は立会を推奨します。,
棚卸表の修正は可能ですか？,理由を明記し承認を得てください。,
在庫廃棄が発生した場合の対応は？,承認後に処理を行ってください。,
配送遅延の連絡は誰が行いますか？,担当部署が責任を持って行ってください。,
出荷ミスの報告期限はありますか？,判明次第速やかに報告してください。,
誤出荷品の返送費用はどうしますか？,原則として当社負担とします。,
配送事故が発生した場合の初動は？,状況確認と関係先への連絡を行ってください。,
請求書の送付先変更依頼が来た場合は？,正式な依頼を確認後に対応してください。,
電子請求書が開けないと連絡が来た場合は？,別形式で再送してください。,
支払確認の証明を求められた場合は？,入金記録を基に回答してください。,
未入金理由が先方都合の場合の対応は？,期限を再設定し対応してください。,
在庫管理ルールは文書化すべきですか？,運用統一のため文書化してください。,
配送完了後の問い合わせ対応は？,記録確認後に回答してください。,
インボイス制度で免税事業者からの請求書を受け取りました。,原則として仕入税額控除の対象外ですが、経過措置期間中は一定割合の控除が可能です。,
登録番号の申請中ですが請求書を発行してもいいですか？,発行は可能ですが、登録完了後に改めて番号を通知するか、修正した請求書を再交付する必要があります。,
適格返還請求書（返還インボイス）の交付義務はありますか？,返品や値引きを行った場合、金額にかかわらず交付義務がありますが、少額な振込手数料などは免除特例があります。,
電子インボイスを受け取った場合、紙で保存してもいいですか？,電子帳簿保存法により、原則として電子データのまま保存することが義務付けられています。,
領収書の宛名が「上様」でもインボイスとして認められますか？,簡易インボイス（小売・飲食等）を除き、原則として正式な宛名の記載が必要です。,
支払期日を過ぎたお客様へ電話がつながらない場合は？,メールやFAXで連絡し、それでも応答がない場合は請求書送付先へ督促状を郵送してください。,
督促状を送付しても入金がない時の最終手段は？,内容証明郵便による催告書を送付し、法的措置（支払督促や少額訴訟）への移行を検討します。,
長期滞留債権の放棄を検討する基準は？,回収コストが債権額を上回る場合や、相手方の支払能力がないことが明白な場合に検討します。,
売掛金の入金予定日が休日だった場合の扱いは？,契約によりますが、一般的には翌営業日に入金を確認します。前営業日設定の場合もあります。,
手形割引とはどのような仕組みですか？,受取手形を期日前に銀行等で換金する資金調達方法です。割引料（手数料）が差し引かれます。,
振込手数料を自社負担にする場合の仕訳は？,支払手数料として処理します。相手先には振込手数料分を差し引いて振り込む旨を伝えてください。,
定期定額の支払いに対する請求書は毎月必要ですか？,契約書で金額と支払時期が定まっていれば、毎月の請求書発行を省略するケースもあります。,
請求書発行後に値引きが決まった場合の対応は？,当初の請求書を取り消して再発行するか、値引き分の赤伝票（クレジットノート）を発行します。,
クレジットカード決済のお客様から返金依頼がありました。,現金での返金は避け、カード会社経由でのキャンセル（売上取消）処理を行ってください。,
二重請求をしてしまい相手が既に振り込んでしまいました。,過入金分を返金するか、次回の請求と相殺するか、お客様の希望を確認して処理してください。,
請求書の金額と実際の入金額に数円の誤差があります。,振込手数料や消費税計算の端数処理の違いを確認し、誤差の範囲内であれば雑損・雑益で処理します。,
領収書を紛失した場合、代わりの証明書類はありますか？,銀行の振込明細書やクレジットカードの利用明細書が支払いの証明として利用可能です。,
交通費精算で領収書が出ない区間はどうしますか？,正規の運賃を調べ、出金伝票や交通費精算書に利用区間と金額を明記して申請します。,
接待交際費の上限金額はありますか？,税法上の損金算入限度額があります。社内規定で事前申請の基準などを設けて管理してください。,
仮払金の精算時に残金が出た場合の処理は？,速やかに経理担当へ現金を返納し、領収書と合わせて精算処理を行ってください。,
問い合わせ対応で「担当者を変えろ」と言われました。,お客様の不満点を確認してお詫びし、上長と相談の上、必要であれば別の担当者が対応します。,
クレーム対応の記録はどのように残すべきですか？,日時、相手方、内容、対応状況を「対応履歴」としてシステムに残し、社内で共有してください。,
感情的になっているお客様への話し方のコツは？,相手の感情を否定せず、まずは話を聞き、「ご不快な思いをさせて申し訳ありません」と共感を示してください。,
メールでの問い合わせに対する返信期限の目安は？,原則として24時間（1営業日）以内の返信を心がけ、調査に時間がかかる場合はその旨を中間報告します。,
納品した商品に汚れがあるとの連絡を受けました。,直ちにお詫びし、良品との交換または返品・返金の手続きを案内してください。,
棚卸で実在庫が帳簿より多かった場合の原因は？,入荷時の計上漏れ、返品処理の未入力、出荷時の数量間違いなどが考えられます。,
棚卸差異が許容範囲を超える場合の対応は？,再棚卸を行い、原因を徹底的に調査します。不正やミスの可能性も含めて監査が必要です。,
預け在庫（委託販売）の棚卸は誰が行いますか？,基本的には委託先（預かり手）がカウントし、その報告をもとに自社で在庫確認を行います。,
不良在庫（デッドストック）の処分方法は？,廃棄処分、安価での一括売却、訳あり品としての販売などを検討し、損失を確定させます。,
シーズン商品の在庫が大量に残ってしまいました。,来期に持ち越すか、評価損を計上してセール販売するか、経営判断を仰いでください。,
指定した配送日時に商品が届かなかったそうです。,運送会社へ配送状況を確認し、遅延理由と現在地をお客様に伝え、最短のお届け日時を案内します。,
配送先住所を間違えて出荷してしまいました。,運送会社へ至急連絡し、転送手配が可能か確認してください。転送不可の場合は商品を戻し再発送します。,
出荷完了メールを送った後にキャンセル依頼が来ました。,既に運送会社へ引き渡しているため、商品到着後の返品手続きとなる旨をお客様へ説明してください。,
複数の注文をまとめて発送することはできますか？,出荷準備前であれば同梱処理が可能ですが、タイミングによっては別便になることを説明してください。,
海外への発送で関税は誰が負担しますか？,DDP（仕向地持ち込み渡し）など契約条件によりますが、一般的には受取人が負担するケースが多いです。,
届いた荷物の箱が潰れて商品も破損していました。,運送中の事故の可能性が高いため、運送会社へ補償を申請し、お客様には代替品を手配します。,
置き配で荷物が紛失した場合の責任は？,運送会社の規約や置き配の承諾有無によります。状況を確認し、調査依頼を出してください。,
請求書の郵送を廃止しWEB発行に切り替えたいです。,お客様へ事前に案内を送り、同意を得た上でシステムへの登録・移行を依頼してください。,
従業員が立替経費の申請を忘れていた場合は？,決算をまたぐと税務処理が複雑になるため、速やかに提出させ、今後は期限厳守を指導してください。,
売掛金の回収サイト（期間）を短縮したいです。,次回の契約更新時に取引条件の見直しを提案し、合意を得て契約書を変更してください。,
請求書の発行タイミングはいつが適切ですか？,取引内容確定後速やかに発行してください。,
請求書の通貨表記は統一する必要がありますか？,原則として契約通貨で統一してください。,
インボイスの登録番号は省略できますか？,省略不可のため必ず記載してください。,
領収書の金額訂正は可能ですか？,原則不可のため再発行してください。,
請求書の備考欄には何を記載しますか？,支払条件や補足事項を簡潔に記載してください。,
支払期限を迎える前にリマインド連絡は必要ですか？,必要に応じて事前案内を行ってください。,
督促状に法的表現は必要ですか？,初期段階では不要です。,
支払約束日を過ぎた場合の対応は？,速やかに状況確認を行ってください。,
未収金の消込はいつ行いますか？,入金確認後に行ってください。,
未収金残高の確認頻度はどれくらいですか？,定期的に月次で確認してください。,
支払方法にクレジットカードは含められますか？,社内ルールに基づき判断してください。,
口座振替依頼書の保管は必要ですか？,証憑として保管してください。,
前払い取引の売上計上はいつですか？,役務提供完了時に計上してください。,
後払い条件の上限金額は設定すべきですか？,リスク管理のため設定してください。,
請求金額の計算根拠を求められた場合は？,内訳を提示してください。,
二重請求を防ぐための対策は？,請求前のダブルチェックを行ってください。,
返金先口座が不明な場合は？,先方へ確認してください。,
返金完了の証明は必要ですか？,振込控えを保管してください。,
消費税の課税区分が不明な場合は？,取引内容を確認してください。,
税込金額のみ記載してもよいですか？,税額内訳を記載してください。,
経費精算で私費立替の場合の注意点は？,立替理由と証憑を確認してください。,
領収書の日付が未来日の場合は？,事実確認を行ってください。,
クレーム対応で感情的な連絡が来た場合は？,冷静に事実確認を行ってください。,
問い合わせ対応の担当者不在時は？,代理対応または折返し連絡を行ってください。,
トラブル対応の期限設定は必要ですか？,対応目安を設定してください。,
在庫差異がプラスの場合の処理は？,原因確認後に調整してください。,
棚卸時に未登録在庫が見つかった場合は？,登録漏れの修正を行ってください。,
棚卸差異の報告書は必要ですか？,必要に応じて作成してください。,
在庫移動の記録漏れがあった場合は？,履歴を修正してください。,
配送遅延の連絡文面に含める内容は？,理由と見込みを記載してください。,
出荷先住所誤りが判明した場合は？,修正手配を行ってください。,
誤出荷品が使用済みの場合は？,対応方針を協議してください。,
配送トラブル時の顧客対応窓口は？,担当部署が対応してください。,
請求書の分割発行は可能ですか？,契約条件に基づき対応してください。,
